PLAYER_NAME,TEAM_ABBREVIATION,PTS,REB,AST,PLUS_MINUS,PLAYER_ID
A.J. Lawson,DAL,136,50,20,18,1630639
AJ Green,MIL,252,64,30,50,1631260
AJ Griffin,ATL,48,18,5,-51,1631100
Aaron Gordon,DEN,1013,471,259,423,203932
Aaron Holiday,HOU,514,123,140,85,1628988
Aaron Nesmith,IND,877,275,108,161,1630174
Aaron Wiggins,OKC,542,186,86,94,1630598
Adam Flagler,OKC,3,0,4,0,1641745
Adama Sanogo,CHI,36,36,0,34,1641766
Admiral Schofield,ORL,26,17,7,-13,1629678
Al Horford,BOS,562,413,168,421,201143
Alec Burks,NYK,689,150,88,-256,202692
Aleksej Pokusevski,CHA,146,89,35,-74,1630197
Alex Caruso,CHI,715,273,247,4,1627936
Alex Fudge,DAL,15,5,0,-39,1641788
Alex Len,SAC,120,128,50,142,203458
Alondes Williams,MIA,5,1,0,-20,1631214
Alperen Sengun,HOU,1331,589,312,49,1630578
Amari Bailey,CHA,23,9,7,5,1641735
Amen Thompson,HOU,592,409,163,45,1641708
Amir Coffey,LAC,463,148,76,-92,1629599
Andre Drummond,CHI,663,708,37,26,203083
Andre Jackson Jr.,MIL,125,113,50,-89,1641748
Andrew Funk,CHI,0,0,0,4,1641847
Andrew Nembhard,IND,626,141,280,65,1629614
Andrew Wiggins,GSW,939,321,119,-58,203952
Anfernee Simons,POR,1039,167,255,-330,1629014
Anthony Black,ORL,316,139,91,-33,1641710
Anthony Davis,LAL,1876,961,266,151,203076
Anthony Edwards,MIN,2049,430,405,432,1630162
Anthony Gill,WAS,189,94,34,5,1630264
Armoni Brooks,BKN,42,18,5,28,1629717
Ashton Hagans,POR,80,45,54,-4,1630204
Ausar Thompson,DET,556,402,120,-231,1641709
Austin Reaves,LAL,1300,352,450,-41,1630559
Ayo Dosunmu,CHI,924,216,242,-158,1630245
Bam Adebayo,MIA,1367,737,278,50,1628389
Ben Sheppard,IND,252,89,53,69,1641767
Ben Simmons,BKN,92,119,86,-38,1627732
Bennedict Mathurin,IND,856,234,119,-92,1631097
Bilal Coulibaly,WAS,532,256,110,-419,1641731
Bismack Biyombo,OKC,174,209,53,-65,202687
Blake Wesley,SAS,268,94,166,-144,1631104
Boban Marjanović,HOU,45,32,6,-20,1626246
Bobby Portis,MIL,1130,607,104,-5,1626171
Bogdan Bogdanović,ATL,1333,272,247,127,203992
Bojan Bogdanović,NYK,868,152,97,-346,202711
Bol Bol,PHX,223,137,17,13,1629626
Bones Hyland,LAC,256,55,93,-65,1630538
Bradley Beal,PHX,964,232,265,107,203078
Brandin Podziemski,GSW,682,427,273,264,1641764
Brandon Boston,LAC,167,52,13,-111,1630527
Brandon Clarke,MEM,68,32,9,-8,1629634
Brandon Ingram,NOP,1332,324,363,175,1627742
Brandon Miller,CHA,1279,315,175,-510,1641706
Brandon Williams,DAL,54,13,17,-57,1630314
Braxton Key,DEN,22,18,9,-11,1630296
Brice Sensabaugh,UTA,241,102,55,-173,1641729
Brook Lopez,MIL,990,409,127,278,201572
Bruce Brown,TOR,726,284,192,-231,1628971
Bruno Fernando,ATL,282,193,46,-96,1628981
Bryce McGowens,CHA,302,102,51,-229,1631121
Buddy Boeheim,DET,34,10,3,21,1631205
Buddy Hield,PHI,1013,269,236,64,1627741
CJ McCollum,NOP,1322,286,305,195,203468
Cade Cunningham,DET,1405,268,464,-350,1630595
Caleb Houstan,ORL,253,84,29,-30,1631216
Caleb Martin,MIA,640,281,143,66,1628997
Cam Reddish,LAL,260,99,48,-50,1629629
Cam Thomas,BKN,1482,214,192,-201,1630560
Cam Whitmore,HOU,579,180,33,-28,1641715
Cameron Johnson,BKN,776,251,138,-77,1629661
Cameron Payne,PHI,578,117,205,-11,1626166
Caris LeVert,CLE,952,280,346,120,1627747
Cason Wallace,OKC,561,187,120,127,1641717
Cedi Osman,SAS,489,180,119,-353,1626224
Charles Bassey,SAS,63,76,21,-46,1629646
Charlie Brown Jr.,NYK,6,2,0,-6,1629718
Chet Holmgren,OKC,1357,648,200,423,1631096
Chimezie Metu,DET,332,194,46,-109,1629002
Chris Boucher,TOR,322,207,23,28,1628449
Chris Duarte,SAC,230,106,44,-67,1630537
Chris Livingston,MIL,26,21,5,-27,1641753
Chris Paul,GSW,533,225,393,110,101108
Christian Braun,DEN,600,306,132,-13,1631128
Christian Wood,LAL,347,254,49,3,1626174
Chuma Okeke,ORL,107,80,20,-70,1629643
Clint Capela,ATL,836,776,91,-17,203991
Coby White,CHI,1509,358,405,-35,1629632
Cody Martin,CHA,211,109,104,-157,1628998
Cody Zeller,NOP,76,112,39,46,203469
Colby Jones,SAC,64,40,20,9,1641732
Cole Anthony,ORL,937,311,236,110,1630175
Cole Swider,MIA,42,7,5,-20,1631306
Colin Castleton,LAL,24,12,3,-44,1630658
Collin Gillespie,DEN,87,21,27,15,1631221
Collin Sexton,UTA,1458,205,383,-143,1629012
Corey Kispert,WAS,1070,225,157,-445,1630557
Cory Joseph,GSW,63,30,42,-12,202709
Craig Porter Jr.,CLE,285,109,118,-25,1641854
D'Angelo Russell,LAL,1369,236,482,184,1626156
D'Moi Hodge,LAL,14,0,5,-35,1641793
D.J. Carton,TOR,11,4,3,-31,1630618
D.J. Wilson,PHI,10,2,2,2,1628391
DaQuan Jeffries,NYK,14,5,5,-10,1629610
Daishen Nix,MIN,27,3,6,28,1630227
Dalano Banton,POR,557,178,127,-222,1630625
Dalen Terry,CHI,180,113,81,36,1631207
Damian Jones,CLE,107,62,15,-91,1627745
Damian Lillard,MIL,1775,320,508,389,203081
Daniel Gafford,DAL,814,562,115,-102,1629655
Daniel Theis,LAC,376,244,61,62,1628464
Danilo Gallinari,MIL,280,108,55,-99,201568
Danny Green,PHI,0,2,1,0,201980
Danté Exum,DAL,428,149,157,239,203957
Danuel House Jr.,PHI,144,58,28,20,1627863
Dario Šarić,GSW,515,283,144,-21,203967
